SUID,AverageShortestPathLength,Betweenness,BetweennessCentrality,Closeness,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,Eigenvector,Information,IsSingleNode,LAC,name,NeighborhoodConnectivity,Network,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,Subgragh,TopologicalCoefficient
107,2.16465863,4529.534078,0.0733504,0.08989547,0.4619666,0.25774401,59,5,0.253714859,4.788871765,FALSE,14.94915254,SRC,21.98305085,41.62177831,59,0,0,0.87059349,FALSE,0,SRC,37348,2.58E+09,0.1282585
203,2.18072289,4582.890338,0.07421444,0.089770355,0.45856354,0.26269956,53,5,0.22849001,4.747086525,FALSE,13.66037736,STAT3,23.11320755,33.71186109,53,0,0,0.86880857,FALSE,0,STAT3,39934,2.09E+09,0.12912406
87,2.18473896,5169.269581,0.08371016,0.08973913,0.45772059,0.19758673,52,5,0.198812589,4.739296913,FALSE,10.07692308,HSP90AA1,20.76923077,24.67992153,52,0,0,0.86836234,FALSE,0,HSP90AA1,44500,1.58E+09,0.12123257
329,2.21285141,4039.226482,0.06541046,0.089521166,0.45190563,0.25568627,51,6,0.214366376,4.731224537,FALSE,12.78431373,MAPK1,22.43137255,30.84900763,51,0,0,0.86523873,FALSE,0,MAPK1,32688,1.84E+09,0.13571004
101,2.34538153,1786.325243,0.02892741,0.088507719,0.42636986,0.29661836,46,5,0.209072456,4.686205387,FALSE,13.34782609,PIK3R1,22.45652174,29.58637204,46,0,0,0.85051316,FALSE,0,PIK3R1,18466,1.75E+09,0.14971014
85,2.30522088,2707.421678,0.04384347,0.088812392,0.43379791,0.3030303,45,6,0.208376482,4.676153183,FALSE,13.33333333,EGFR,24.17777778,25.38784766,45,0,0,0.85497546,FALSE,0,EGFR,23778,1.74E+09,0.15164221
213,2.30923695,1738.138582,0.02814708,0.088781831,0.43304348,0.32890365,43,6,0.205936909,4.654812336,FALSE,13.81395349,HRAS,24.30232558,26.52533855,43,0,0,0.85452923,FALSE,0,HRAS,17986,1.70E+09,0.15269855
109,2.42168675,944.9401408,0.01530218,0.08793456,0.41293532,0.37246964,39,6,0.190417141,4.606452942,FALSE,14.15384615,GRB2,23.87179487,27.88735955,39,0,0,0.84203481,FALSE,0,GRB2,10762,1.45E+09,0.16693563
516,2.30120482,3599.088866,0.05828295,0.088842975,0.43455497,0.29279279,37,5,0.163054571,4.578910828,FALSE,10.54054054,ESR1,25.18918919,17.58430702,37,0,0,0.85542169,FALSE,0,ESR1,32062,1.07E+09,0.15515516
103,2.44578313,2998.998522,0.0485652,0.087755102,0.408867,0.20840336,35,6,0.08650551,4.548699379,FALSE,7.085714286,HDAC1,17.11428571,18.46530922,35,0,0,0.83935743,FALSE,0,HDAC1,29516,3.00E+08,0.12584034
355,2.44578313,548.1193219,0.00887614,0.087755102,0.408867,0.39327731,35,5,0.178190798,4.548699379,FALSE,13.37142857,PTPN11,25,22.55641639,35,0,0,0.83935743,FALSE,0,PTPN11,6644,1.27E+09,0.17985612
215,2.37751004,3495.999685,0.05661355,0.088265481,0.42060811,0.25757576,33,6,0.137535453,4.515403748,FALSE,8.242424242,IGF1,22.15151515,13.64973734,33,0,0,0.84694333,FALSE,0,IGF1,26712,7.58E+08,0.14707071
89,2.55823293,306.2769382,0.00495979,0.086927224,0.39089482,0.47311828,31,6,0.166293919,4.478514671,FALSE,14.19354839,LCK,26.83870968,22.02704663,31,0,0,0.82686301,FALSE,0,LCK,4756,1.11E+09,0.21470968
99,2.38554217,1193.110795,0.01932101,0.088205128,0.41919192,0.36129032,31,6,0.153805465,4.478514671,FALSE,10.83870968,MAPK8,26.4516129,15.24005131,31,0,0,0.84605087,FALSE,0,MAPK8,12438,9.49E+08,0.17267552
337,2.44578313,734.4851975,0.01189411,0.087755102,0.408867,0.41075269,31,5,0.163741931,4.478514671,FALSE,12.32258065,JAK2,26.93548387,17.27148441,31,0,0,0.83935743,FALSE,0,JAK2,8156,1.08E+09,0.18301514
73,2.53012048,723.5201693,0.01171655,0.087132725,0.3952381,0.33333333,30,6,0.140076011,4.458543777,FALSE,9.666666667,MAPK14,24.83333333,14.99678944,30,0,0,0.82998661,FALSE,0,MAPK14,7066,7.87E+08,0.18671679
114,2.47791165,4034.485682,0.06533368,0.087516961,0.40356564,0.17989418,28,5,0.057437096,4.4150877,FALSE,4.857142857,RXRA,14.82142857,13.93695221,28,0,0,0.83578759,FALSE,0,RXRA,24996,1.32E+08,0.10714286
270,2.47389558,1881.00352,0.03046061,0.087546658,0.40422078,0.26190476,28,6,0.111139372,4.4150877,FALSE,7.071428571,AR,23.75,12.57576219,28,0,0,0.83623382,FALSE,0,AR,20050,4.95E+08,0.16493056
442,2.44578313,867.8257064,0.0140534,0.087755102,0.408867,0.34126984,28,5,0.138376787,4.415088654,FALSE,9.214285714,STAT1,26.57142857,12.43155543,28,0,0,0.83935743,FALSE,0,STAT1,10268,7.68E+08,0.18051506
135,2.40160643,5323.431564,0.08620663,0.088084671,0.41638796,0.11396011,27,6,0.060434245,4.391396523,FALSE,2.962962963,ALB,15.37037037,7.138456719,27,0,0,0.84426595,FALSE,0,ALB,31658,1.46E+08,0.10498084
227,2.41767068,1491.600266,0.02415469,0.087964541,0.41362126,0.28205128,27,6,0.111125946,4.391396523,FALSE,7.333333333,CASP3,23.55555556,11.06785978,27,0,0,0.84248104,FALSE,0,CASP3,12536,4.95E+08,0.15703704
255,2.36546185,1944.187277,0.03148379,0.088356164,0.42275042,0.32478632,27,5,0.110764898,4.391396523,FALSE,8.444444444,HIF1A,25.11111111,12.55509812,27,0,0,0.84828202,FALSE,0,HIF1A,17208,4.92E+08,0.15311653
460,2.48192771,1384.906308,0.02242691,0.087487284,0.40291262,0.31054131,27,6,0.122222044,4.391396523,FALSE,8.074074074,NFKB1,25.18518519,11.97400853,27,0,0,0.83534137,FALSE,0,NFKB1,13192,5.99E+08,0.17612018
219,2.50200803,2726.572881,0.0441536,0.087339201,0.39967897,0.21,25,6,0.093735017,4.339445114,FALSE,5.04,TLR4,21.68,8.535379369,25,0,0,0.83311022,FALSE,0,TLR4,21058,3.52E+08,0.154
379,2.59036145,572.7655749,0.00927526,0.086693548,0.38604651,0.36333333,25,6,0.123771988,4.339445114,FALSE,8.72,MAP2K1,25.52,11.94751732,25,0,0,0.82329317,FALSE,0,MAP2K1,5482,6.14E+08,0.21057851
148,2.56626506,4457.652018,0.07218636,0.086868687,0.38967136,0.20289855,24,6,0.064140432,4.310884476,FALSE,4.666666667,HPGDS,17.375,11.4669362,24,0,0,0.82597055,FALSE,0,HPGDS,30816,1.65E+08,0.13541667
285,2.52610442,2381.32753,0.03856276,0.087162162,0.39586645,0.21376812,24,5,0.088622533,4.310884476,FALSE,4.916666667,PRKACA,20.33333333,7.541843507,24,0,0,0.83043284,FALSE,0,PRKACA,19062,3.15E+08,0.1578776
406,2.69879518,210.1339128,0.00340287,0.085914086,0.37053571,0.41666667,24,6,0.118701868,4.310884476,FALSE,9.583333333,PIK3CD,23.91666667,12.67667227,24,0,0,0.81124498,FALSE,0,PIK3CD,2438,5.65E+08,0.22562893
129,2.3935743,1540.054826,0.02493935,0.088144858,0.41778523,0.25541126,22,6,0.083653592,4.247684479,FALSE,5.363636364,PPARG,25.5,7.209653943,22,0,0,0.84515841,FALSE,0,PPARG,13718,2.81E+08,0.15740741
272,2.47791165,482.1154429,0.00780728,0.087516961,0.40356564,0.41125541,22,6,0.102305926,4.247684479,FALSE,8.636363636,NR3C1,28.54545455,10.72325935,22,0,0,0.83578759,FALSE,0,NR3C1,6060,4.20E+08,0.19418677
496,2.54618474,329.3891152,0.00533406,0.087015177,0.39274448,0.41991342,22,5,0.119705305,4.247684479,FALSE,8.818181818,KDR,28.59090909,10.64383377,22,0,0,0.8282017,FALSE,0,KDR,4162,5.75E+08,0.22163495
77,2.4939759,709.8138106,0.01149459,0.087398374,0.40096618,0.36190476,21,6,0.09108863,4.212594986,FALSE,7.238095238,MDM2,26.33333333,8.555940989,21,0,0,0.83400268,FALSE,0,MDM2,8952,3.33E+08,0.18414918
217,2.58634538,2367.203257,0.03833403,0.086722689,0.38664596,0.21428571,21,6,0.05736747,4.212594986,FALSE,4.285714286,MMP9,17.38095238,8.762554113,21,0,0,0.8237394,FALSE,0,MMP9,15708,1.32E+08,0.13504464
