SUID,AverageShortestPathLength,Betweenness,BetweennessCentrality,Closeness,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,Eigenvector,Information,IsSingleNode,LAC,name,NeighborhoodConnectivity,Network,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,Subgragh,TopologicalCoefficient
107,2.16465863,395.4064761,0.0733504,0.777777778,0.4619666,0.25774401,59,5,0.258784652,12.05925083,FALSE,16.16,SRC,21.98305085,43.23628633,59,0,0,0.87059349,FALSE,0,SRC,37348,8.57E+08,0.1282585
203,2.18072289,289.5315498,0.07421444,0.721649485,0.45856354,0.26269956,53,5,0.230679661,11.63393879,FALSE,14.97674419,STAT3,23.11320755,32.58341647,53,0,0,0.86880857,FALSE,0,STAT3,39934,6.81E+08,0.12912406
87,2.18473896,260.8289325,0.08371016,0.693069307,0.45772059,0.19758673,52,5,0.199935347,11.34248257,FALSE,12,HSP90AA1,20.76923077,24.74863099,52,0,0,0.86836234,FALSE,0,HSP90AA1,44500,5.12E+08,0.12123257
329,2.21285141,476.0536265,0.06541046,0.736842105,0.45190563,0.25568627,51,6,0.223399237,11.76538181,FALSE,13.73333333,MAPK1,22.43137255,33.40569544,51,0,0,0.86523873,FALSE,0,MAPK1,32688,6.39E+08,0.13571004
101,2.34538153,185.7259028,0.02892741,0.68627451,0.42636986,0.29661836,46,5,0.209178671,11.26289463,FALSE,13.94736842,PIK3R1,22.45652174,26.82733283,46,0,0,0.85051316,FALSE,0,PIK3R1,18466,5.60E+08,0.14971014
85,2.30522088,172.1837516,0.04384347,0.68627451,0.43379791,0.3030303,45,6,0.216435164,11.26289463,FALSE,15,EGFR,24.17777778,28.09017793,45,0,0,0.85497546,FALSE,0,EGFR,23778,5.99E+08,0.15164221
213,2.30923695,117.465657,0.02814708,0.666666667,0.43304348,0.32890365,43,6,0.207228318,11.00549984,FALSE,15.08571429,HRAS,24.30232558,25.70650839,43,0,0,0.85452923,FALSE,0,HRAS,17986,5.50E+08,0.15269855
109,2.42168675,73.35122565,0.01530218,0.642201835,0.41293532,0.37246964,39,6,0.188094407,10.61142254,FALSE,14.83870968,GRB2,23.87179487,23.14078134,39,0,0,0.84203481,FALSE,0,GRB2,10762,4.53E+08,0.16693563
516,2.30120482,122.2002983,0.05828295,0.636363636,0.43455497,0.29279279,37,5,0.169599786,10.5022459,FALSE,12.13333333,ESR1,25.18918919,18.65034951,37,0,0,0.85542169,FALSE,0,ESR1,32062,3.68E+08,0.15515516
355,2.44578313,75.68375043,0.00887614,0.630630631,0.408867,0.39327731,35,5,0.179273412,10.5022459,FALSE,13.46666667,PTPN11,25,20.35230317,35,0,0,0.83935743,FALSE,0,PTPN11,6644,4.11E+08,0.17985612
103,2.44578313,103.1676257,0.0485652,0.569105691,0.408867,0.20840336,35,6,0.083913006,9.423128128,FALSE,8,HDAC1,17.11428571,13.08119936,35,0,0,0.83935743,FALSE,0,HDAC1,29516,9.01E+07,0.12584034
215,2.37751004,59.81180703,0.05661355,0.598290598,0.42060811,0.25757576,33,6,0.138445631,9.733158112,FALSE,9.75,IGF1,22.15151515,13.42931464,33,0,0,0.84694333,FALSE,0,IGF1,26712,2.45E+08,0.14707071
337,2.44578313,78.62259441,0.01189411,0.619469027,0.408867,0.41075269,31,5,0.169550523,10.26907444,FALSE,12.64285714,JAK2,26.93548387,17.86798254,31,0,0,0.83935743,FALSE,0,JAK2,8156,3.68E+08,0.18301514
89,2.55823293,48.88258381,0.00495979,0.619469027,0.39089482,0.47311828,31,6,0.170611471,10.14439583,FALSE,14.37037037,LCK,26.83870968,19.97379439,31,0,0,0.82686301,FALSE,0,LCK,4756,3.72E+08,0.21470968
99,2.38554217,100.1870879,0.01932101,0.630630631,0.41919192,0.36129032,31,6,0.164441749,10.38823795,FALSE,11.37931034,MAPK8,26.4516129,16.79349378,31,0,0,0.84605087,FALSE,0,MAPK8,12438,3.46E+08,0.17267552
73,2.53012048,126.2307617,0.01171655,0.619469027,0.3952381,0.33333333,30,6,0.148054957,10.14439583,FALSE,10.14814815,MAPK14,24.83333333,14.52764793,30,0,0,0.82998661,FALSE,0,MAPK14,7066,2.80E+08,0.18671679
