Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	53	74.64788732394366	2.317397524038441E-16	GSK3B, RARG, PIK3CD, NR3C1, IGF1R, HPGDS, CASP3, JAK2, PRKACA, HRAS, HSP90AA1, PARP1, SYK, PRKCB, PRKCD, CCNA2, AR, ZAP70, RARA, BTK, RARB, PPARG, PGR, TLR4, HDAC2, SRC, HDAC1, PIK3R1, HIF1A, EGFR, CDC42, RXRB, MAPK8, ABL1, MAPK1, CSK, PTPN1, NOS2, NOS3, STAT1, STAT3, PTPN11, MAPK14, ESR1, MAPK12, NFKB1, ALB, CDK2, MDM2, GRB2, FGFR2, BCL2L1, EZH2	71	5576	20562	2.752707781841696	4.9960036108132044E-14	5.214144429086492E-14	4.611621072836498E-14
GOTERM_CC_DIRECT	GO:0005634~nucleus	53	74.64788732394366	6.524018880001617E-15	GSK3B, ITK, RARG, THRB, NR3C1, IGF1R, CASP3, KDR, JAK2, PRKACA, MAP2K1, HSP90AA1, PARP1, SYK, PRKCB, MMP2, PRKCD, CCNA2, KAT2B, AR, RARA, BTK, RARB, PPARG, PGR, PPARA, HDAC2, HDAC1, PIK3R1, HIF1A, EGFR, RXRB, MAPK8, RXRA, ERBB4, ABL1, MAPK1, NOS2, NOS3, STAT1, STAT3, PTPN11, MAPK14, ESR1, MAPK12, ESR2, NFKB1, ALB, CDK2, MDM2, GRB2, FGFR2, EZH2	71	5984	20562	2.565023160352489	1.4738210651898953E-12	7.339521240001819E-13	6.491398785601609E-13
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	44	61.97183098591549	1.0264166005068305E-14	GSK3B, RARG, HDAC2, THRB, HDAC1, SRC, NR3C1, HIF1A, RXRB, MAPK8, HPGDS, RXRA, ERBB4, CASP3, ABL1, MAPK1, JAK2, PRKACA, HRAS, HSP90AA1, PARP1, NOS2, PRKCB, STAT1, PRKCD, STAT3, PTPN11, MAPK14, ESR1, MAPK12, ESR2, NFKB1, CCNA2, KAT2B, AR, CDK2, RARA, MDM2, RARB, GRB2, PPARG, PGR, PPARA, EZH2	71	3963	20562	3.2154044631147976	2.298161660974074E-12	7.698124503801228E-13	6.808563450028642E-13
GOTERM_CC_DIRECT	GO:0005829~cytosol	50	70.4225352112676	5.502775121403451E-14	GSK3B, ITK, PIK3CD, NR3C1, HPGDS, CASP3, JAK2, PRKACA, HRAS, MAP2K1, HSP90AA1, PARP1, SYK, PRKCB, PRKCD, CCNA2, KAT2B, AR, ZAP70, LCK, RARA, BTK, PRKCQ, PPARG, PGR, SRC, HDAC1, PIK3R1, HIF1A, CDC42, MAPK8, RXRA, ERBB4, ABL1, MAPK1, CSK, PTPN1, NOS2, NOS3, STAT1, STAT3, PTPN11, MAPK14, ESR1, MAPK12, NFKB1, CDK2, MDM2, GRB2, BCL2L1	71	5510	20562	2.628000306740625	1.2390088954816747E-11	3.0953110057894414E-12	2.737630622898217E-12
GOTERM_CC_DIRECT	GO:0032991~macromolecular complex	21	29.577464788732392	1.1864781255003486E-13	PTPN1, HSP90AA1, HDAC2, SYK, PARP1, STAT1, HDAC1, PTPN11, PIK3R1, NR3C1, HIF1A, ESR1, EGFR, CDC42, AR, KAT2B, ALB, MDM2, ABL1, RARA, MAPK1	71	703	20562	8.65109290164887	2.6703639299796578E-11	5.339151564751569E-12	4.722182939491387E-12
GOTERM_CC_DIRECT	GO:0000785~chromatin	21	29.577464788732392	2.0020065076948044E-10	HDAC2, RARG, THRB, PARP1, STAT1, HDAC1, STAT3, NR3C1, HIF1A, ESR1, ESR2, NFKB1, RXRB, AR, RXRA, RARA, RARB, PGR, PPARG, PPARA, EZH2	71	1059	20562	5.742887922435462	4.504514161673967E-8	7.507524403855516E-9	6.6399882505211004E-9
GOTERM_CC_DIRECT	GO:0043235~receptor complex	10	14.084507042253522	5.121734523748708E-8	RXRA, ERBB4, KIT, KDR, PPARG, MET, TLR4, EGFR, FGFR2, IGF1R	71	217	20562	13.345881742065295	1.15238365773207E-5	1.646271811204942E-6	1.4560359574657042E-6
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	39	54.929577464788736	1.0232923996268816E-7	GSK3B, ITK, SRC, PIK3CD, PIK3R1, EGFR, IGF1R, CDC42, ERBB4, KDR, MAPK1, CSK, JAK2, PRKACA, HRAS, PTPN1, MAP2K1, HSP90AA1, SYK, NOS2, PRKCB, NOS3, MMP2, PRKCD, STAT3, F2, ESR1, AR, ZAP70, LCK, KIT, RARA, MDM2, BTK, GRB2, PRKCQ, MET, TLR4, FGFR2	71	5071	20562	2.2272963356951014	2.3023815119316282E-5	2.8780098739506043E-6	2.545439844071868E-6
GOTERM_CC_DIRECT	GO:0090575~RNA polymerase II transcription factor complex	8	11.267605633802818	1.8092962913606753E-7	RXRB, RXRA, THRB, STAT1, STAT3, RARA, PPARG, HIF1A	71	121	20562	19.1474799208474	4.070834163849568E-5	4.503853422037751E-6	3.983408137713389E-6
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	20	28.169014084507044	2.0017126320167786E-7	GSK3B, MAP2K1, HSP90AA1, PARP1, SRC, MMP2, PRKCD, PTPN11, MAPK14, NR3C1, ESR2, NFKB1, MAPK12, MAPK8, RXRA, ERBB4, ABL1, MAPK1, PRKACA, BCL2L1	71	1437	20562	4.0306977564762265	4.503752451501253E-5	4.503853422037751E-6	3.983408137713389E-6
GOTERM_CC_DIRECT	GO:0048471~perinuclear region of cytoplasm	15	21.12676056338028	2.378929224194467E-7	HSP90AA1, NOS2, STAT1, HDAC1, SRC, PRKCD, PIK3R1, EGFR, BTK, ABL1, RARA, PPARG, PRKACA, HRAS, TLR4	71	764	20562	5.6859744856573995	5.3524481436806326E-5	4.865991594943227E-6	4.3036992328608995E-6
