Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0004714~transmembrane receptor protein tyrosine kinase activity	18	25.352112676056336	4.477593487515602E-23	ITK, MAP2K1, SYK, SRC, PRKCD, EGFR, IGF1R, ZAP70, ERBB4, LCK, KIT, KDR, BTK, ABL1, CSK, JAK2, MET, FGFR2	71	116	18869	41.23870811073336	1.5402921597053672E-20	1.1566841846904434E-20	8.91050316694673E-21
GOTERM_MF_DIRECT	GO:0004879~RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding	15	21.12676056338028	6.724908050525834E-23	RARG, THRB, STAT3, PIK3R1, NR3C1, ESR1, ESR2, RXRB, AR, RXRA, RARA, RARB, PGR, PPARG, PPARA	71	54	18869	73.82237871674492	2.313368369380887E-20	1.1566841846904434E-20	8.91050316694673E-21
GOTERM_MF_DIRECT	GO:0004713~protein tyrosine kinase activity	17	23.943661971830984	1.6962846594593708E-21	ITK, MAP2K1, SYK, SRC, EGFR, IGF1R, ZAP70, ERBB4, LCK, KIT, KDR, BTK, ABL1, CSK, JAK2, MET, FGFR2	71	113	18869	39.981677676679546	5.835219228540235E-19	1.9450730761800787E-19	1.498384782522444E-19
GOTERM_MF_DIRECT	GO:0019899~enzyme binding	21	29.577464788732392	7.47548705961225E-18	PTPN1, HDAC2, THRB, PARP1, STAT1, HDAC1, SRC, PRKCD, MAPK14, HIF1A, ESR1, EGFR, ESR2, NFKB1, AR, MAPK8, RXRA, MDM2, RARA, PGR, PPARG	71	390	18869	14.310184182015167	2.571567548506614E-15	6.428918871266535E-16	4.9525101769931155E-16
GOTERM_MF_DIRECT	GO:0004715~non-membrane spanning protein tyrosine kinase activity	10	14.084507042253522	7.708770295038192E-14	ITK, ZAP70, SYK, SRC, LCK, PRKCD, BTK, ABL1, CSK, JAK2	71	46	18869	57.774035517452546	2.6505020400691137E-11	5.3036339629862755E-12	4.085648256370241E-12
GOTERM_MF_DIRECT	GO:0005524~ATP binding	29	40.845070422535215	2.773791736654027E-13	GSK3B, ITK, SRC, PIK3CD, EGFR, IGF1R, MAPK8, ERBB4, KDR, ABL1, MAPK1, CSK, JAK2, PRKACA, MAP2K1, HSP90AA1, SYK, PRKCB, PRKCD, MAPK14, MAPK12, ZAP70, LCK, KIT, CDK2, BTK, PRKCQ, MET, FGFR2	71	1545	18869	4.988385979306258	9.540279677366925E-11	1.4148356182315402E-11	1.0899169733469713E-11
GOTERM_MF_DIRECT	GO:0019901~protein kinase binding	19	26.76056338028169	2.8790259673316225E-13	PTPN1, GSK3B, SYK, PARP1, PRKCD, STAT3, PTPN11, NR3C1, HIF1A, ESR1, EGFR, CDC42, CCNA2, KAT2B, LCK, GRB2, JAK2, PRKACA, BCL2L1	71	511	18869	9.881508227446872	9.903100561814426E-11	1.4148356182315402E-11	1.0899169733469713E-11
GOTERM_MF_DIRECT	GO:0019903~protein phosphatase binding	11	15.492957746478872	1.6019341808410834E-12	HSP90AA1, MAPK8, LCK, STAT3, CSK, GRB2, PPARG, PIK3R1, MAPK14, MET, EGFR	71	93	18869	31.434045131001056	5.510676359676836E-10	6.888316977616659E-11	5.3064069740360884E-11
GOTERM_MF_DIRECT	GO:0001223~transcription coactivator binding	9	12.676056338028168	3.784001020931353E-12	AR, THRB, STAT1, RARA, PGR, PPARA, HIF1A, ESR1, NFKB1	71	44	18869	54.3601152368758	1.3016867583814928E-9	1.4463292791115393E-10	1.1141780783853427E-10
GOTERM_MF_DIRECT	GO:0004672~protein kinase activity	16	22.535211267605636	7.016499377882617E-12	GSK3B, MAP2K1, SYK, PRKCB, SRC, PRKCD, MAPK14, EGFR, MAPK12, CDK2, ABL1, PRKCQ, JAK2, PRKACA, MET, FGFR2	71	379	18869	11.2194433089301	2.4136754817050132E-9	2.41367578599162E-10	1.8593723351388935E-10
