Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa05200:Pathways in cancer	44	61.97183098591549	2.523099828043236E-34	GSK3B, HDAC2, HDAC1, PIK3CD, PIK3R1, HIF1A, EGFR, IGF1R, CDC42, RXRB, MAPK8, RXRA, CASP3, ABL1, MAPK1, JAK2, PRKACA, HRAS, MAP2K1, HSP90AA1, NOS2, PRKCB, STAT1, MMP2, STAT3, IGF1, F2, MMP9, ESR1, IL2, ESR2, NFKB1, CCNA2, AR, KIT, CDK2, RARA, MDM2, RARB, GRB2, PPARG, MET, FGFR2, BCL2L1	70	531	8164	9.664137745493678	5.550819621695119E-32	5.550819621695119E-32	1.968017865873724E-32
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	27	38.028169014084504	1.3321558326490931E-24	SRC, PIK3CD, PIK3R1, HIF1A, EGFR, IGF1R, CDC42, ERBB4, CASP3, KDR, MAPK1, PRKACA, HRAS, MAP2K1, PRKCB, MMP2, STAT3, PTPN11, IGF1, MAPK14, MMP9, ESR1, MAPK12, MDM2, GRB2, MET, TLR4	70	205	8164	15.3608362369338	2.9307428318280047E-22	1.4653714159140024E-22	5.195407747331463E-23
KEGG_PATHWAY	hsa01521:EGFR tyrosine kinase inhibitor resistance	18	25.352112676056336	3.640455664439961E-20	GSK3B, MAP2K1, PRKCB, SRC, STAT3, PIK3CD, PIK3R1, IGF1, EGFR, IGF1R, KDR, MAPK1, GRB2, JAK2, HRAS, MET, FGFR2, BCL2L1	70	79	8164	26.573598553345388	8.009002461767914E-18	2.669667487255971E-18	9.465184727543898E-19
KEGG_PATHWAY	hsa01522:Endocrine resistance	19	26.76056338028169	5.3774947440107725E-20	MAP2K1, SRC, MMP2, PIK3CD, PIK3R1, IGF1, MAPK14, ESR1, MMP9, EGFR, ESR2, MAPK12, IGF1R, MAPK8, MDM2, MAPK1, GRB2, PRKACA, HRAS	70	98	8164	22.611661807580173	1.1830488436823699E-17	2.9576221092059248E-18	1.0486114750821007E-18
KEGG_PATHWAY	hsa04917:Prolactin signaling pathway	17	23.943661971830984	1.8165326145072712E-19	GSK3B, MAP2K1, STAT1, SRC, STAT3, PIK3CD, PIK3R1, MAPK14, ESR1, ESR2, NFKB1, MAPK12, MAPK8, MAPK1, GRB2, JAK2, HRAS	70	70	8164	28.32408163265306	3.996371751915997E-17	7.992743503831994E-18	2.833790878631343E-18
KEGG_PATHWAY	hsa05235:PD-L1 expression and PD-1 checkpoint pathway in cancer	18	25.352112676056336	3.2364846527614694E-19	MAP2K1, STAT1, STAT3, PIK3CD, PTPN11, PIK3R1, MAPK14, HIF1A, EGFR, NFKB1, MAPK12, ZAP70, LCK, MAPK1, PRKCQ, JAK2, HRAS, TLR4	70	89	8164	23.587800963081857	7.120266236075232E-17	1.1867110393458721E-17	4.20743004858991E-18
KEGG_PATHWAY	hsa04919:Thyroid hormone signaling pathway	19	26.76056338028169	2.8834426371404936E-18	GSK3B, MAP2K1, HDAC2, THRB, PRKCB, STAT1, HDAC1, SRC, PIK3CD, PIK3R1, HIF1A, ESR1, RXRB, KAT2B, RXRA, MDM2, MAPK1, PRKACA, HRAS	70	121	8164	18.31357733175915	6.343573801709086E-16	9.062248288155837E-17	3.2129789385279787E-17
KEGG_PATHWAY	hsa05417:Lipid and atherosclerosis	22	30.985915492957744	2.1428619656576193E-17	GSK3B, HSP90AA1, NOS3, SRC, STAT3, PIK3CD, PIK3R1, MAPK14, MMP9, NFKB1, MAPK12, CDC42, RXRB, MAPK8, RXRA, CASP3, MAPK1, PPARG, JAK2, HRAS, TLR4, BCL2L1	70	215	8164	11.934086378737542	4.714296324446762E-15	5.892870405558453E-16	2.0892904165161789E-16
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	26	36.61971830985916	2.4779087438141155E-17	GSK3B, PIK3CD, PIK3R1, EGFR, IGF1R, RXRA, ERBB4, KDR, MAPK1, JAK2, HRAS, MAP2K1, HSP90AA1, SYK, NOS3, IGF1, IL2, NFKB1, KIT, CDK2, MDM2, GRB2, MET, TLR4, FGFR2, BCL2L1	70	354	8164	8.565940274414851	5.451399236391054E-15	6.057110262656726E-16	2.1475209113055665E-16
KEGG_PATHWAY	hsa05161:Hepatitis B	20	28.169014084507044	2.925017963639E-17	MAP2K1, PRKCB, STAT1, SRC, STAT3, PIK3CD, PIK3R1, MAPK14, MMP9, NFKB1, MAPK12, CCNA2, MAPK8, CASP3, CDK2, MAPK1, GRB2, JAK2, HRAS, TLR4	70	162	8164	14.398589065255731	6.4350395200057995E-15	6.435039520005799E-16	2.2815140116384196E-16
KEGG_PATHWAY	hsa05215:Prostate cancer	17	23.943661971830984	4.8632511357576517E-17	GSK3B, MAP2K1, HSP90AA1, PIK3CD, PIK3R1, IGF1, MMP9, EGFR, NFKB1, IGF1R, AR, CDK2, MDM2, MAPK1, GRB2, HRAS, FGFR2	70	97	8164	20.440058910162	1.0699152498666834E-14	9.726502271515303E-16	3.4484871689917894E-16
KEGG_PATHWAY	hsa04933:AGE-RAGE signaling pathway in diabetic complications	17	23.943661971830984	8.091471550222798E-17	PRKCB, NOS3, STAT1, MMP2, PRKCD, STAT3, PIK3CD, PIK3R1, MAPK14, NFKB1, MAPK12, CDC42, MAPK8, CASP3, MAPK1, JAK2, HRAS	70	100	8164	19.826857142857143	2.4424906541753444E-14	1.4834364508741795E-15	5.259456507644818E-16
KEGG_PATHWAY	hsa04014:Ras signaling pathway	22	30.985915492957744	1.4649993341993288E-16	MAP2K1, PRKCB, PIK3CD, PTPN11, PIK3R1, IGF1, EGFR, NFKB1, IGF1R, CDC42, ZAP70, MAPK8, KIT, KDR, ABL1, MAPK1, GRB2, PRKACA, HRAS, MET, FGFR2, BCL2L1	70	236	8164	10.872154963680387	2.4424906541753444E-14	2.441955112216564E-15	8.657840852404181E-16
KEGG_PATHWAY	hsa04660:T cell receptor signaling pathway	17	23.943661971830984	1.5539714350469043E-16	GSK3B, ITK, MAP2K1, PIK3CD, PIK3R1, MAPK14, IL2, NFKB1, MAPK12, CDC42, ZAP70, MAPK8, LCK, MAPK1, GRB2, PRKCQ, HRAS	70	104	8164	19.064285714285713	2.4424906541753444E-14	2.441955112216564E-15	8.657840852404181E-16
KEGG_PATHWAY	hsa05207:Chemical carcinogenesis - receptor activation	21	29.577464788732392	2.824105129581926E-16	MAP2K1, HSP90AA1, PRKCB, SRC, STAT3, PIK3CD, PIK3R1, ESR1, EGFR, ESR2, NFKB1, RXRB, AR, RXRA, MAPK1, GRB2, PGR, JAK2, PPARA, PRKACA, HRAS	70	212	8164	11.552830188679245	7.327471962526033E-14	3.991385704469982E-15	1.4151276588575391E-15
KEGG_PATHWAY	hsa04659:Th17 cell differentiation	17	23.943661971830984	2.9028259668872596E-16	HSP90AA1, STAT1, STAT3, MAPK14, HIF1A, IL2, NFKB1, MAPK12, RXRB, ZAP70, MAPK8, RXRA, LCK, RARA, MAPK1, PRKCQ, JAK2	70	108	8164	18.358201058201058	7.327471962526033E-14	3.991385704469982E-15	1.4151276588575391E-15
