"Target Name","ChEMBL-ID","UniProt ID","PDB Visualization","TTD ID","Probability","Model accuracy"
"Cathepsin D","CHEMBL2581","P07339","4OD9","T67102","99.89%","98.95%"
"Nuclear factor NF-kappa-B p105 subunit","CHEMBL3251","P19838","1SVC","Not Available","97.56%","96.09%"
"Hypoxia-inducible factor 1 alpha","CHEMBL4261","Q16665","4H6J","Not Available","96.14%","85.14%"
"Cystinyl aminopeptidase","CHEMBL2693","Q9UIQ6","5MJ6","Not Available","95.92%","97.64%"
"Matrix metalloproteinase-2","CHEMBL333","P08253","1CK7","Not Available","95.45%","96.31%"
"Cyclooxygenase-1","CHEMBL221","P23219","6Y3C","Not Available","95.12%","90.17%"
"Histone deacetylase 10","CHEMBL5103","Q969S8","Not Available","T94324","94.69%","90.08%"
"Transcription intermediary factor 1-alpha","CHEMBL3108638","O15164","4YBM","Not Available","94.69%","95.56%"
"Kelch-like ECH-associated protein 1","CHEMBL2069156","Q14145","6WCQ","Not Available","93.74%","82.38%"
"LSD1/CoREST complex","CHEMBL3137262","O60341","5L3D","Not Available","92.32%","97.09%"
"Bloom syndrome protein","CHEMBL1293237","P54132","4O3M","Not Available","91.9%","70.06%"
"Cytochrome P450 19A1","CHEMBL1978","P11511","3S79","T13260","91.55%","91.76%"
"Voltage-gated N-type calcium channel alpha-1B subunit","CHEMBL4478","Q00975","Not Available","T38338","91%","97.14%"
"Prolyl endopeptidase","CHEMBL3202","P48147","3DDU","T86161","88.44%","90.65%"
"NT-3 growth factor receptor","CHEMBL5608","Q16288","6KZD","Not Available","87.66%","95.89%"
"T-cell protein-tyrosine phosphatase","CHEMBL3807","P17706","1L8K","Not Available","86.57%","93%"
"Dual specificity protein kinase CLK4","CHEMBL4203","Q9HAZ1","6FYV","Not Available","86.02%","94.45%"
"FK506-binding protein 1A","CHEMBL1902","P62942","2PPN","T76059","85.91%","97.05%"
"Acetylcholinesterase","CHEMBL220","P22303","1F8U","T30082","85.43%","94.45%"
"Cyclin-dependent kinase 5/CDK5 activator 1","CHEMBL1907600","Q00535","1UNL","T20973","84.99%","93.03%"
"Glycine receptor subunit alpha-1","CHEMBL5845","P23415","4X5T","T50269","84.98%","90.71%"
"Histone deacetylase 4","CHEMBL3524","P56524","2VQM","T63816","84.91%","92.97%"
"GABA-A receptor; alpha-1/beta-2/gamma-2","CHEMBL2095172","P14867","6X3T","T51487","84.25%","92.67%"
"Histone deacetylase 2","CHEMBL1937","Q92769","7KBG","T51191","83.87%","94.75%"
"G-protein coupled receptor 55","CHEMBL1075322","Q9Y2T6","Not Available","T87670","83.59%","78.15%"
"Kruppel-like factor 5","CHEMBL1293249","Q13887","Not Available","Not Available","83.42%","86.33%"
"dUTP pyrophosphatase","CHEMBL5203","P33316","3ARA","T39054","83.09%","99.18%"
"Stimulator of interferon genes protein","CHEMBL4523377","Q86WV6","6NT5","Not Available","82.34%","95.48%"
"Formyl peptide receptor 1","CHEMBL3359","P21462","Not Available","T87831","82%","93.56%"
"PI3-kinase p110-delta subunit","CHEMBL3130","O00329","6PYR","T67849","81.9%","96.47%"
"Ghrelin receptor","CHEMBL4616","Q92847","6KO5","T59604","81.89%","92%"
"Adenosine A1 receptor","CHEMBL226","P30542","5N2S","T92072","80.44%","95.93%"
"Lysine-specific demethylase 4A","CHEMBL5896","O75164","6G5X","Not Available","79.6%","99.09%"
"Cannabinoid CB2 receptor","CHEMBL253","P34972","6KPF","Not Available","79.01%","97.25%"
"Solute carrier family 40 member 1","CHEMBL3392948","Q9NP59","6WBV","T86264","78.02%","95%"
"Kallikrein 7","CHEMBL2443","P49862","2QXI","Not Available","77.26%","94%"
"Sodium/hydrogen exchanger 1","CHEMBL2781","P19634","7DSX","T82028","77.18%","90.24%"
"Histone-lysine N-methyltransferase EZH2","CHEMBL2189110","Q15910","5HYN","T25265","77.12%","97.5%"
"Thrombin","CHEMBL204","P00734","5EDM","T94033","76.86%","96.01%"
"Glutamate NMDA receptor; GRIN1/GRIN2B","CHEMBL1907603","Q05586","5EWM","Not Available","76.68%","95.89%"
"Toll-like receptor 8","CHEMBL5805","Q9NR97","3WN4","T48703","76.31%","96.25%"
"Histone deacetylase 11","CHEMBL3310","Q96DB2","Not Available","Not Available","76.22%","88.56%"
"DNA-(apurinic or apyrimidinic site) lyase","CHEMBL5619","P27695","6BOW","T13348","76.16%","91.11%"
"Cyclophilin A","CHEMBL1949","P62937","4N1M","T47081","76.07%","98.57%"
"Serotonin 7 (5-HT7) receptor","CHEMBL3155","P34969","Not Available","T79062","75.82%","90.71%"
"Transmembrane protease serine 6","CHEMBL1795139","Q8IU80","Not Available","Not Available","75.69%","98.33%"
"IgG receptor FcRn large subunit p51","CHEMBL5966","P55899","6FGB","Not Available","74.86%","90.93%"
"Matrix metalloproteinase 9","CHEMBL321","P14780","5UE3","Not Available","73.93%","92.12%"
