"Ligand: Unnamed
"
Pharma Model,Num Feature,Fit,Norm Fit,zscore,Num Hydrophobic,Num HB Acceptor,Num HB Donor,Num Positive,Num Negative,Num Aromatic,Name,Class,Uniplot,Function,Disease,Idication,,,,"
"
1w8m_v,3,2.936,0.9788,1.64267,1,2,0,0,0,0,Peptidyl-prolyl cis-trans isomerase A,NONE,P62937,"Posttranslational modification, protein turnover, chaperones",NONE,"For treatment of transplant rejection, rheumatoid arthritis, severe psoriasis",,,,"
"
1pmv_v,3,2.921,0.9738,1.64372,2,1,0,0,0,0,Mitogen-activated protein kinase 10,TRANSFERASE,MK10_HUMAN,"Responds to activation by environmental stress and pro- inflammatory cytokines by phosphorylating a number of transcription factors, primarily components of AP-1 such as c-Jun and ATF2 and thus regulates AP-1 transcriptional activity. Required for stress-",A chromosomal rearrangement involving MAPK10 is a cause of epileptic encephalopathy Lennox-Gastaut type [MIM:606369]. Translocation t(Y;4)(q11.2;q21) which causes MAPK10 truncation. Epileptic encephalopathies of the Lennox-Gastaut group are childhood epileptic disorders characterized by severe psychomotor delay and seizures.,Central nervous system disease;Inflammation;Pulmonary fibrosis;Ischemia;Cerebrovascular ischemia;Neurodegenerative disease,,,,"
"
1q8m_v,3,2.893,0.9642,1.42961,1,2,0,0,0,0,Triggering receptor expressed on myeloid cells 1,NONE,Q9NP99,Involved in immune triggering activity,NONE,"For nutritional supplementation, also for treating dietary shortage or imbalance",,,,"
"
1bm6_v,3,2.881,0.9603,1.33447,2,1,0,0,0,0,Stromelysin-1,METALLOPROTEASE,MMP3_HUMAN,"Can degrade fibronectin, laminin, gelatins of type I, III, IV, and V; collagens III, IV, X, and IX, and cartilage proteoglycans. Activates procollagenase.",NONE,NONE,,,,"
"
1nub_v,3,2.854,0.9513,1.37698,1,1,1,0,0,0,SPARC,EXTRACELLULAR MODULE,SPRC_HUMAN,"Appears to regulate cell growth through interactions with the extracellular matrix and cytokines. Binds calcium and copper, several types of collagen, albumin, thrombospondin, PDGF and cell membranes. There are two calcium binding sites; an acidic domain ",NONE,NONE,,,,"
"
1lyw_v,3,2.804,0.9345,1.20585,1,2,0,0,0,0,Cathepsin D,ASPARTIC PROTEASE,CATD_HUMAN,Acid protease active in intracellular protein breakdown. Involved in the pathogenesis of several diseases such as breast cancer and possibly Alzheimer disease.,"Defects in CTSD are the cause of neuronal ceroid lipofuscinosis 10 (CLN10) [MIM:610127]; also known as neuronal ceroid lipofuscinosis due to cathepsin D deficiency. The neuronal ceroid lipofuscinosis are a group of progressive neurodegenerative diseases in children and in adults, characterized by visual and mental decline, motor disturbance, epilepsy and behavioral changes.",NONE,,,,"
"
1ogs_v,3,2.799,0.9331,1.23777,0,3,0,0,0,0,Glucosylceramidase,HYDROLASE,GLCM_HUMAN,NONE,"Defects in GBA are the cause of Gaucher disease (GD) [MIM:230800]; also known as glucocerebrosidase deficiency. GD is the most prevalent lysosomal storage disease, characterized by accumulation of glucosylceramide in the reticulo-endothelial system. Different clinical forms are recognized depending on the presence (neuronopathic forms) or absence of central nervous system involvement, severity and age of onset.;Defects in GBA are the cause of Gaucher disease type 1 (GD1) [MIM:230800]; also known as adult non-neuronopathic Gaucher disease. GD1 is characterized by hepatosplenomegaly with consequent anemia and thrombopenia, and bone involvement. The central nervous system is not involved.;Defects in GBA are the cause of Gaucher disease type 2 (GD2) [MIM:230900]; also known as acute neuronopathic. GD2 is the most severe form and is universally progressive and fatal. It manifests soon after birth, with death generally occurring before patients reach two years of age.;Defects in GBA are the cause of Gaucher disease type 3 (GD3) [MIM:231000]; also known as subacute neuronopathic. GD3 has central nervous manifestations.;Defects in GBA are the cause of Gaucher disease type 3C [MIM:231005]; also known as pseudo-Gaucher disease or Gaucher-like disease.;Defects in GBA are the cause of perinatal lethal Gaucher disease [MIM:608013]. It is a distinct form of Gaucher disease type 2, characterized by fetal onset. Hydrops fetalis, in utero fetal death and neonatal distress are prominent features. When hydrops is absent, neurologic involvement begins in the first week and leads to death within 3 months. Hepatosplenomegaly is a major sign, and is associated with ichthyosis, arthrogryposis, and facial dysmorphism.;Perinatal lethal Gaucher disease is associated with non- immune hydrops fetalis [MIM:236750]. Hydrops fetalis is a generalized edema of the fetus with fluid accumulation in the body cavities.;Defects in GBA may be a risk factor in the development of Parkinson disease (PD) [MIM:168600]. Simultaneous occurrence of Parkinson disease and Gaucher disease is marked by atypical parkinsonism generally presenting by the fourth through sixth decades of life. The combination progresses inexorably and is refractory to conventional anti-Parkinson therapy.",Gaucher disease,,,,"
"
1lbk_v,3,2.787,0.9291,1.14289,1,2,0,0,0,0,Glutathione S-transferase P,TRANSFERASE,GSTP1_HUMAN,Conjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles.,NONE,NONE,,,,"
"
1dvz_v,3,2.784,0.9281,1.12684,2,1,0,0,0,0,Transthyretin,HORMONE/GROWTH FACTOR,TTHY_HUMAN,Thyroid hormone-binding protein. Probably transports thyroxine from the bloodstream to the brain.,"Defects in TTR are the cause of amyloidosis type 1 (AMYL1) [MIM:176300]. AMYL1 is a hereditary generalized amyloidosis due to transthyretin amyloid deposition. Protein fibrils can form in different tissues leading to amyloid polyneuropathies, amyloidotic cardiomyopathy, carpal tunnel syndrome, systemic senile amyloidosis.;Defects in TTR are the cause of amyloidosis type 7 (AMYL7) [MIM:105210]; also known as leptomeningeal amyloidosis or meningocerebrovascular amyloidosis. AMYL7 is a form of hereditary transthyretin amyloidosis characterized by primary involvement of the central nervous system. Neuropathologic examination shows amyloid in the walls of leptomeningeal vessels, in pia arachnoid, and subpial deposits. Some patients also develop vitreous amyloid deposition that leads to visual impairment (oculoleptomeningeal amyloidosis). Clinical features include seizures, stroke-like episodes, dementia, psychomotor deterioration, variable amyloid deposition in the vitreous humor. Mild systemic amyloidosis may occurr.;Defects in TTR are a cause of hyperthyroxinemia [MIM:176300].",NONE,,,,"
"
