Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
LRP5,LDL Receptor Related Protein 5,Protein Coding,52,GC11P068298,63.15624619,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP5
COL1A1,Collagen Type I Alpha 1 Chain,Protein Coding,52,GC17M050248,45.96331024,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL1A1
WNT1,Wnt Family Member 1,Protein Coding,47,GC12P049498,41.1157608,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT1
COL1A2,Collagen Type I Alpha 2 Chain,Protein Coding,50,GC07P094394,38.80429459,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL1A2
SLC34A1,Solute Carrier Family 34 Member 1,Protein Coding,47,GC05P177581,37.54508591,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC34A1
PLS3,Plastin 3,Protein Coding,45,GC0XP115560,33.38349152,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLS3
CALCR,Calcitonin Receptor,Protein Coding,50,GC07M093424,32.02167511,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCR
SLC9A3R1,SLC9A3 Regulator 1,Protein Coding,48,GC17P074749,28.75590134,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC9A3R1
DKK1,Dickkopf WNT Signaling Pathway Inhibitor 1,Protein Coding,50,GC10P052314,28.55579948,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DKK1
CALCA,Calcitonin Related Polypeptide Alpha,Protein Coding,48,GC11M014945,26.63037491,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCA
IFITM5,Interferon Induced Transmembrane Protein 5,Protein Coding,38,GC11M000298,26.40377617,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFITM5
WNT3A,Wnt Family Member 3A,Protein Coding,50,GC01P229424,25.90289879,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT3A
ESR1,Estrogen Receptor 1,Protein Coding,56,GC06P151656,25.52559471,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1
PDLIM4,PDZ And LIM Domain 4,Protein Coding,41,GC05P132257,24.60883522,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDLIM4
RUNX2,RUNX Family Transcription Factor 2,Protein Coding,49,GC06P088004,21.93706322,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RUNX2
BMND2,Bone Mineral Density Variation 2,Genetic Locus,2,GC01U900002,21.89902878,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMND2
BMND8,Bone Mineral Density Quantiative Trait Locus 8,Genetic Locus,2,GC11U901220,21.70561218,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMND8
BGLAP,Bone Gamma-Carboxyglutamate Protein,Protein Coding,44,GC01P156242,21.53001213,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BGLAP
BMND3,Bone Mineral Density Variability 3,Genetic Locus,2,GC01U990485,21.18575859,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMND3
TNFRSF11B,TNF Receptor Superfamily Member 11b,Protein Coding,50,GC08M118923,21.15804672,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF11B
BMND4,Bone Mineral Density Variation QTL 4,Genetic Locus,2,GC0XU900610,21.11283112,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMND4
BMND5,Bone Mineral Density Variation QTL 5,Genetic Locus,2,GC11U900681,21.11283112,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMND5
BMND10,Bone Mineral Density QTL 10,Genetic Locus,2,GC08U901145,21.0132103,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMND10
BMND11,Bone Mineral Density QTL 11,Genetic Locus,2,GC06U901644,21.0132103,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMND11
BMND13,Bone Mineral Density QTL 13,Genetic Locus,2,GC16U900937,21.0132103,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMND13
BMND14,Bone Mineral Density QTL 14,Genetic Locus,2,GC01U902352,21.0132103,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMND14
BMND6,Bone Mineral Density QTL 6,Genetic Locus,2,GC21U900310,21.0132103,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMND6
BMND7,Bone Mineral Density Quantiative Trait Locus 7,Genetic Locus,2,GC20U900413,21.0132103,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMND7
BMND9,Bone Mineral Density QTL 9,Genetic Locus,2,GC13U900612,21.0132103,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMND9
TNFSF11,TNF Superfamily Member 11,Protein Coding,54,GC13P042562,19.5829277,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF11
VDR,Vitamin D Receptor,Protein Coding,52,GC12M047841,18.85105324,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VDR
IGF1,Insulin Like Growth Factor 1,Protein Coding,50,GC12M102395,18.63538361,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1
CYP19A1,Cytochrome P450 Family 19 Subfamily A Member 1,Protein Coding,51,GC15M051208,17.0620327,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP19A1
NOTCH2,Notch Receptor 2,Protein Coding,54,GC01M119911,17.02519989,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH2
SP7,Sp7 Transcription Factor,Protein Coding,44,GC12M053326,16.8175869,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SP7
SLC34A3,Solute Carrier Family 34 Member 3,Protein Coding,45,GC09P137230,16.17095566,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC34A3
ESR2,Estrogen Receptor 2,Protein Coding,51,GC14M064084,15.31942463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR2
CD36,CD36 Molecule,Protein Coding,52,GC07P080369,15.03652382,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD36
IL6,Interleukin 6,Protein Coding,53,GC07P022725,14.99378681,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6
SOST,Sclerostin,Protein Coding,49,GC17M043753,14.55806541,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOST
TERT,Telomerase Reverse Transcriptase,Protein Coding,53,GC05M001253,14.45779514,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERT
TNFRSF11A,TNF Receptor Superfamily Member 11a,Protein Coding,52,GC18P062325,14.18182373,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF11A
SMS,Spermine Synthase,Protein Coding,47,GC0XP021958,14.13056183,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMS
MMP14,Matrix Metallopeptidase 14,Protein Coding,53,GC14P033595,14.04567719,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP14
GNAS,GNAS Complex Locus,Protein Coding,52,GC20P058839,13.93815517,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAS
LMNA,Lamin A/C,Protein Coding,51,GC01P156082,13.7106905,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMNA
PTH,Parathyroid Hormone,Protein Coding,48,GC11M013492,13.66271782,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTH
COPB2,COPI Coat Complex Subunit Beta 2,Protein Coding,47,GC03M139355,13.51661491,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COPB2
WRN,WRN RecQ Like Helicase,Protein Coding,48,GC08P031033,13.41530895,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WRN
MIR2861,MicroRNA 2861,RNA Gene,17,GC09P127785,13.34450245,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR2861
ALB,Albumin,Protein Coding,52,GC04P073397,13.18777466,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB
TGFB1,Transforming Growth Factor Beta 1,Protein Coding,55,GC19M041301,12.85125732,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1
